GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1106069931	2021-04-02 13:22:19.423058	33194	species	Northern Cardinal	Cardinalis cardinalis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-27	08:40:00	obsr940190	S84314230	Stationary	P21	EBIRD	35			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1097026137	2021-03-19 13:16:46.878375	20373	species	Blue Jay	Cyanocitta cristata			6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			100 Fox Hollow Rd, Montgomery US-AL 32.38115, -86.23098	L14064561	P	32.3811470	-86.2309790	2021-03-17	12:10:00	obsr2106491	S83578152	Traveling	P22	EBIRD	33	2.202		2	1	G6421163	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1088679056	2021-03-06 11:18:31.431065	8011	species	Red-tailed Hawk	Buteo jamaicensis			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			I-65 N, Hope Hull US-AL 32.22305, -86.39327	L13934194	P	32.2230530	-86.3932730	2021-03-06	10:05:00	obsr612769	S82861243	Traveling	P22	EBIRD	12	26.811		2	0	G6373349	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1089535899	2021-03-08 13:00:52.129293	10620	species	Red-bellied Woodpecker	Melanerpes carolinus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			East McLean Rd., Hope Hull	L1070027	H	32.2373067	-86.3624096	2021-03-07	08:49:00	obsr374184	S82938371	Traveling	P22	EBIRD	57	2.527		2	1	G6381639	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1092678503	2021-03-11 17:57:46.598494	7885	species	Bald Eagle	Haliaeetus leucocephalus			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2021-03-11	12:00:00	obsr1230280	S83213008	Stationary	P21	EBIRD	120			2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1087862860	2021-03-05 09:25:49.392725	2339	species	Mourning Dove	Zenaida macroura			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			167–223 Tanglewood Trail, Montgomery US-AL 32.17434, -86.31623	L13910990	P	32.1743390	-86.3162290	2021-03-04	07:55:00	obsr743214	S82792578	Stationary	P21	EBIRD	90			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086826558	2021-03-03 17:31:48.602529	32858	species	Yellow-rumped Warbler	Setophaga coronata			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			East McLean Rd., Hope Hull	L1070027	H	32.2373067	-86.3624096	2021-03-03	16:04:00	obsr665305	S82702914	Traveling	P22	EBIRD	27	2.182		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1104102609	2021-04-02 13:26:40.311334	26950	species	Brown Thrasher	Toxostoma rufum			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2021-03-25	12:40:00	obsr940190	S84156561	Stationary	P21	EBIRD	60			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1087879809	2021-03-05 10:03:34.682513	31084	species	House Finch	Haemorhous mexicanus			11					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L12597551	P	32.3251920	-86.1527620	2021-03-05	08:56:00	obsr851458	S82794651	Stationary	P21	EBIRD	7			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096149197	2021-03-16 11:27:55.79835	32858	species	Yellow-rumped Warbler	Setophaga coronata			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mgm home summer	L11597027	P	32.3092470	-86.1858420	2021-03-16	10:26:00	obsr1060942	S83506098	Incidental	P20	EBIRD				1	0		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1090001394	2021-03-25 12:14:45.195882	20373	species	Blue Jay	Cyanocitta cristata			7					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-07	07:09:00	obsr183378	S82982420	Traveling	P22	EBIRD	26	0.531		2	1	G6381641	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086029484	2021-03-07 07:21:04.689124	297	species	Canada Goose	Branta canadensis			8					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			2140 Halcyon Downs Loop, Montgomery US-AL (32.3458,-86.1725)	L10381474	P	32.3458220	-86.1724960	2021-03-02	09:05:00	obsr325012	S82634137	Traveling	P22	EBIRD	101	4.828		1	1		0	1	0		Rain breeze 47	
URN:CornellLabOfOrnithology:EBIRD:OBS1104517765	2021-04-02 13:29:33.334928	26739	species	European Starling	Sturnus vulgaris			20					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-27	09:43:00	obsr790796	S84185003	Traveling	P22	EBIRD	17	2.846		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1104863511	2021-03-27 16:24:35.459032	32301	species	Eastern Meadowlark	Sturnella magna			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The Waters--Lake Cameron	L2521696	H	32.3502880	-86.0243332	2021-03-27	13:07:00	obsr186678	S84214754	Traveling	P22	EBIRD	134	4.000		1	1		0	1	0			
